symbol,tf,macd,adx_thr,vol_lb,tgt_vol,IS_Sharpe,IS_MaxDD,IS_Trades,OOS_Sharpe,OOS_MaxDD,OOS_Trades
ETH-USD,4h,12/26/9,20,30,0.015,0.3184998464034092,-5.733087267836479,149,0.15488002407467852,-5.769220446037648,46
ETH-USD,4h,8/26/9,25,20,0.015,0.0,-9.839780808956922,123,0.1445252583743414,-6.448511700443838,42
ETH-USD,4h,12/26/9,25,20,0.015,0.0,-7.402011909303319,111,0.14323995782374727,-5.731120628910979,32
ETH-USD,4h,12/26/9,20,30,0.02,0.3128980412805011,-5.912698669911176,149,0.09061630545067192,-6.422376963223019,46
ETH-USD,4h,12/26/9,25,30,0.015,0.0,-7.450127333963219,111,0.09002090150331336,-6.1821149953895755,32
ETH-USD,4h,8/26/9,25,30,0.015,0.0,-10.00490952050297,123,0.08962712498608551,-7.002988211752359,42
ETH-USD,4h,12/26/9,20,20,0.015,0.4012772739481947,-5.381788334914672,149,0.08814159849217786,-5.802057487491819,46
ETH-USD,4h,12/26/9,20,20,0.02,0.32402321378220617,-5.7758604110351826,149,0.038650459322881525,-6.526390188487518,46
ETH-USD,4h,12/26/9,25,20,0.02,0.0,-7.649547324113993,111,0.024738999491269197,-6.749503467828067,32
ETH-USD,4h,8/26/9,25,20,0.02,0.0,-10.155277338029522,123,0.0007067991934867262,-7.601544246322856,42
ETH-USD,4h,8/24/9,20,20,0.015,0.0,-6.585788748717835,165,0.0,-7.334098954913005,63
ETH-USD,4h,8/24/9,20,20,0.02,0.0,-6.7616822923381115,165,0.0,-8.209665104231611,63
ETH-USD,4h,8/24/9,20,30,0.015,0.0,-6.841631404273418,165,0.0,-7.216834104345072,63
ETH-USD,4h,8/24/9,20,30,0.02,0.0,-6.832048506453637,165,0.0,-8.155824771464538,63
ETH-USD,4h,8/24/9,25,20,0.015,0.0,-10.955404829686422,127,0.0,-6.723007592269081,45
ETH-USD,4h,8/24/9,25,20,0.02,0.0,-11.179962808722266,127,0.0,-7.977140625953827,45
ETH-USD,4h,8/24/9,25,30,0.015,0.0,-10.986001851976546,127,0.0,-7.292354156397074,45
ETH-USD,4h,8/24/9,25,30,0.02,0.0,-11.211960832133027,127,0.0,-8.169301642237347,45
ETH-USD,4h,8/26/9,20,20,0.015,0.0,-5.19894854217795,159,0.0,-6.808743471157297,61
ETH-USD,4h,8/26/9,20,20,0.02,0.0,-5.43156356978356,159,0.0,-7.576508947061877,61
ETH-USD,4h,8/26/9,20,30,0.015,0.0,-5.5271151276606645,159,0.0,-6.666594076625065,61
ETH-USD,4h,8/26/9,20,30,0.02,0.0,-5.502470499195211,159,0.0,-7.492565890733138,61
ETH-USD,4h,8/26/9,25,30,0.02,0.0,-10.09110822037329,123,0.0,-7.780926286205125,42
ETH-USD,4h,12/26/9,25,30,0.02,0.0,-7.624230359965711,111,0.0,-6.95500767374978,32
SOL-USD,4h,12/24/9,20,30,0.015,0.0,-12.800418429970717,173,0.5751881527737506,-2.9744950708118445,57
SOL-USD,4h,8/24/9,20,30,0.015,0.0,-9.483697257233214,193,0.5232345716675586,-3.0597230075938953,65
SOL-USD,4h,12/24/9,20,20,0.015,0.0,-13.33718876539236,173,0.49718709248056797,-2.9587838670764754,57
SOL-USD,1h,8/26/9,20,30,0.02,0.0,-28.660560428057057,714,0.4660181167680545,-5.725427287326868,298
SOL-USD,1h,8/26/9,20,30,0.015,0.0,-28.060995971255277,714,0.4596247854286031,-5.7255889646825375,298
SOL-USD,1h,8/26/9,25,30,0.015,0.0,-27.542384989887893,527,0.44797201079324056,-5.51118892768968,230
SOL-USD,4h,8/24/9,20,20,0.015,0.0,-9.60090559971658,193,0.44343772460993924,-3.0812164834122413,65
SOL-USD,1h,8/26/9,20,20,0.02,0.0,-28.579718042590052,714,0.437774589393597,-5.725537043560436,298
SOL-USD,4h,12/24/9,20,20,0.02,0.0,-15.803893019009617,173,0.41494164164183517,-3.250473496746642,57
SOL-USD,4h,12/24/9,20,30,0.02,0.0,-15.107424583908614,173,0.41075628524914726,-3.4163271088195057,57
SOL-USD,1h,8/26/9,20,20,0.015,0.0,-27.585714935766916,714,0.39762599548181676,-5.7255191127509875,298
SOL-USD,1h,8/26/9,25,30,0.02,0.0,-28.42902450113771,527,0.39255812041643545,-5.511439250170458,230
SOL-USD,1h,8/26/9,25,20,0.015,0.0,-26.787036495381265,527,0.3882299810855887,-5.511598029429754,230
